ID,GUZERGAH_A,GUZERGAH_K,HAT_ADI,HAT_KODU,DEPAR_NO,DURUM,UZUNLUK,HAT_BASI,HAT_SONU,YON,HAT_ID,SURE,RING_MI,B_NOKTASI,latitude,longitude
504,KARTAL - GÖÇBEYLİ MERKEZ CAMİİ,133GP_D_D1423,GÖÇBEYLİ - KARTAL,133GP,1423,AKTİF,3609869.0,GÖÇBEYLİ MERKEZ CAMİİ,KARTAL,DÖNÜŞ,505,524017.0,HAYIR,0,40.92330870655144,29.32457060670716
3549,YENİBOSNA CEM EVİ -  AKSARAY RİNG,97_G_D7205,15 TEMMUZ MAHALLESİ - AKSARAY,97,7205,AKTİF,3111706.0,15 TEMMUZ MAHALLESİ AİLE SAĞLIĞI MERKEZİ,AKSARAY RİNG,GİDİŞ,566,4517.0,EVET,189471,41.00906821354624,28.8799497499426
4038,NÖROLOJİK BİLİMLER -  MARMARA ÜNİV. KONTROL KAPISI,KM41_G_D1739,MARMARA ÜNİVERSİTESİ-KÜÇÜKYALI METRO-BAŞIBÜYÜK SAĞLIK KAMPÜSÜ,KM41,1739,AKTİF,1350171.0,"MARMARA ÜNİVERSİTESİ ATATÜRK EĞİTİM FAKÜLTESİ, İKTİSAT VE İŞLETME","MARMARA ÜNİVERSİTESİ ATATÜRK EĞİTİM FAKÜLTESİ, İKTİSAT VE İŞLETME",GİDİŞ,884,195996.0,EVET,288752,40.94748476792432,29.13428406466783
25250,KAZIMKARABEKİR CEM EVİ - KADIKÖY,20K_G_D6991,KAZIM KARABEKİR - KADIKÖY,20K,6991,AKTİF,1681793.0,KAZIM KARABEKİR,KADIKÖY,GİDİŞ,433,243637.0,HAYIR,0,41.00997258737816,29.07851368060297
7513,SULTANBEYLİ PERONLAR - CEVİZLİ PERONLAR,132A_G_D1178,ÇAMLIK MAHALLESİ - KARTAL,132A,1178,AKTİF,2616335.0,SULTANBEYLİ PERONLAR,KARTAL,GİDİŞ,98,379242.0,HAYIR,0,40.905123122967886,29.23044284286393
7515,CEVİZLİ PERONLAR - SULTANBEYLİ PERONLAR,132A_D_D1179,ÇAMLIK MAHALLESİ - KARTAL,132A,1179,AKTİF,2498669.0,SULTANBEYLİ PERONLAR,KARTAL,DÖNÜŞ,98,362713.0,HAYIR,0,40.90516372155301,29.235201976744506
3223,SU KEMERİ  -  FENERTEPE PERONLAR,78C_G_D7630,YUNUS EMRE MAHALLESİ - FENERTEPE,78C,7630,AKTİF,3190799.0,YUNUS EMRE MAHALLESİ,FENERTEPE PERONLAR,GİDİŞ,711,461844.0,HAYIR,0,41.09878768841183,28.83792949113635
23510,KANUNİ SULTAN SÜLEYMAN - ESENYURT KİPTAŞ 4.ETAP,142K_D_D7145,ESENYURT KİPTAŞ 4.ETAP - AVCILAR METROBÜS,142K,7145,AKTİF,1784379.0,ESENYURT KİPTAŞ 4.ETAP,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA AVCILAR KAMPÜSÜ,DÖNÜŞ,602,259023.0,HAYIR,0,41.05068256259481,28.716548320393137
23525,PENDİK YHT İSTASYONU  -  SULTANBEYLİ PERONLAR,KM26_D_D1956,ÇAMLIK MAHALLESİ - PENDİK METRO/ YHT / PENDİK,KM26,1956,AKTİF,1488691.0,SULTANBEYLİ PERONLAR,PENDİK,DÖNÜŞ,840,213897.0,HAYIR,0,40.91250508894144,29.26289985164533
23531,TAKSİM MEYDAN  -  BEYOĞLU TÜNEL,T2_G_D0,TAKSİM - TÜNEL,T2,0,AKTİF,182391.0,TAKSİM MEYDAN,BEYOĞLU TÜNEL,GİDİŞ,842,26476.0,HAYIR,0,41.03328141846856,28.97856785602721
