ID,ADI,DURAK_KODU,DURUMU,DURAK_TIPI,YON_BILGIS,SON_GUNCEL,YAPILIS_TA,ILCEID,MAHALLEID,VERSIYON,CEP_VAR,latitude,longitude
293093,ÇİFTLİK YOLU,220341,1,CCMODERNDR,ÜSKÜDAR,01.01.1976 00:00:00,02.01.2016 00:00:00,1185,40245,"2,01807E+14",2.0,41.0688200005648,29.0765259999909
293098,ÖZEVLER MAHALLESİ,220391,1,CCMODERNDR,ÜSKÜDAR,01.01.1976 00:00:00,02.01.2016 00:00:00,1185,40245,"2,01807E+14",2.0,41.0648060005642,29.0956509999913
293099,GAZİPAŞA CADDESİ,220402,1,CCMODERNDR,ÜSKÜDAR,01.01.1976 00:00:00,02.01.2016 00:00:00,1185,40245,"2,01807E+14",2.0,41.0635780005641,29.0956719999913
293938,KÖY ÜSTÜ,115821,1,İETTBAYRAK,KISIRKAYA,01.01.1976 00:00:00,02.01.2016 00:00:00,1604,191769,"2,01802E+14",2.0,41.2396070284929,28.9826950243712
293940,KOÇ ÜNİVERSİTESİ,115831,1,CCMODERN,SARIYER,01.01.1976 00:00:00,02.01.2016 00:00:00,1604,191775,"2,01802E+14",2.0,41.1969489613709,29.0671079977311
293942,BİZİMTEPE,115841,1,İETTBAYRAK,SARIYER,30.04.2019 00:00:00,02.01.2016 00:00:00,1604,191767,"2,01904E+14",0.0,41.2203119961708,29.1036700385189
293220,FERDA VE TURAN TAKMAZ ORTAOKULU,221062,1,İETTBAYRAK,ÜSKÜDAR 15PÇ,14.10.2024 00:00:00,02.01.2016 00:00:00,1185,40238,"2,0241E+14",0.0,41.1189358991144,29.1079488000112
293162,TEKKE,220761,1,IETTCAMLI,ÜSKÜDAR,09.12.2020 00:00:00,02.01.2016 00:00:00,1185,40242,"2,02012E+14",0.0,41.0970020005694,29.0809219999909
509130,MUSTAFA KARAŞAHİN İLKOKULU,200122,1,AÇIK DURAK,GÖNÜL SK. 131A,05.09.2024 00:00:00,02.01.2016 00:00:00,2054,40580,"2,02409E+14",0.0,40.9880230027431,29.2402820015658
509168,OSMANGAZİ CAMİİ,201801,1,İETTBAYRAK,ÜMRANİYE,01.01.1976 00:00:00,02.01.2016 00:00:00,2054,40580,"2,01806E+14",2.0,40.9868910005518,29.2370719999933
509180,ÖZTEPE CADDESİ,201872,1,İSTON DAR,SAMANDIRA,08.03.2021 00:00:00,02.01.2016 00:00:00,2054,40773,"2,02103E+14",0.0,41.0108569991167,29.2708380000095
509206,MEHTAP SOKAK,203481,1,İETTBAYRAK,KARTAL,01.01.1976 00:00:00,02.01.2016 00:00:00,2054,98781,"2,01806E+14",2.0,41.0109930005557,29.2236199999931
509231,ORDU CADDESİ,204412,1,IETTCAMLI,KARTAL,01.01.1976 00:00:00,02.01.2016 00:00:00,2054,40759,"2,01807E+14",2.0,41.0046550005547,29.1934829999928
509260,OTOBAN GİRİŞİ,214522,1,CCMODERNDR,SARIGAZİ,01.01.1976 00:00:00,02.01.2016 00:00:00,2054,40576,"2,01804E+14",2.0,40.97055802244,29.2201039570018
509285,EBRU SOKAK,216031,1,CCMODERN,KADIKÖY,01.01.1976 00:00:00,02.01.2016 00:00:00,2054,98781,"2,01807E+14",2.0,41.0088110005553,29.2245019999931
509297,AKABE CADDESİ,216091,1,IETTCAMLI,ÜMRANİYE,25.10.2022 00:00:00,02.01.2016 00:00:00,2054,40771,"2,0221E+14",0.0,41.0067089644404,29.2490450465368
509338,ÖZGÜRLÜK CADDESİ,217902,1,İSTON DAR,YENİDOĞAN,01.07.2021 00:00:00,02.01.2016 00:00:00,2054,98781,"2,02107E+14",0.0,41.0163000005565,29.2258069999931
509350,CENGİZ TOPEL İLKOKULU,218211,1,İSTON DAR,SULTANBEYLİ,03.12.2021 00:00:00,02.01.2016 00:00:00,2054,40575,"2,02112E+14",0.0,40.9684810005488,29.2311629999933
293655,HACIOSMAN BAYIRI CADDESİ,113182,1,İETTBAYRAK,SARIYER,23.01.2020 00:00:00,02.01.2016 00:00:00,1604,40659,"2,02001E+14",0.0,41.1426110364147,29.0284340034178
293707,FERAHEVLER YOLU,114102,1,CCMODERN,TARABYA,01.01.1976 00:00:00,02.01.2016 00:00:00,1604,40660,"2,01802E+14",2.0,41.1375810274729,29.037901034923
293727,YAŞAR DEDEMAN ANADOLU İMAM HATİP LİSESİ,114202,1,CCMODERNDR,HACIOSMAN,18.02.2019 00:00:00,02.01.2016 00:00:00,1604,40665,"2,01902E+14",0.0,41.134826957378,29.0399160006482
508970,KLİNİK,128231,1,CCMODERN,İSTOÇ,01.01.1976 00:00:00,02.01.2016 00:00:00,2050,40357,"2,01807E+14",2.0,41.1045600005703,28.8093269999829
508789,ATATÜRK SANAYİ SİTESİ,111482,1,CCMODERN,KÜÇÜKÇEKMECE,30.03.2020 00:00:00,02.01.2016 00:00:00,2050,139666,"2,02003E+14",0.0,41.0851290005672,28.7964849999824
293608,HÜSEYİN  KALKAVAN MESLEKİ VE TEKNİK ANADOLU LİSESİ,112902,1,WALLMODERN,HACIOSMAN METRO,07.05.2020 00:00:00,02.01.2016 00:00:00,1604,40671,"2,02005E+14",1.0,41.1714289856469,29.0531939757189
293613,SPOR TESİSLERİ,112931,1,İETTBAYRAK,KISIRKAYA,01.01.1976 00:00:00,02.01.2016 00:00:00,1604,191769,"2,01802E+14",2.0,41.2353190217826,28.9878800249659
293614,SPOR TESİSLERİ,112932,1,İETTBAYRAK,SARIYER,01.01.1976 00:00:00,02.01.2016 00:00:00,1604,191769,"2,01802E+14",2.0,41.2352820338489,28.9870330210783
293618,BEŞEVLER,112952,1,İETTBAYRAK,SARIYER,01.01.1976 00:00:00,02.01.2016 00:00:00,1604,191777,"2,01802E+14",2.0,41.22945802617,28.996069977864
510377,DOĞUEVLER,225271,1,CCMODERN,KADIKÖY,01.01.1976 00:00:00,02.01.2016 00:00:00,2012,40609,"2,01807E+14",1.0,40.9377720005439,29.1209739999919
510378,DOĞUEVLER,225272,1,İSTON GENİŞ,PENDİK,01.11.2021 00:00:00,02.01.2016 00:00:00,2012,40609,"2,02111E+14",0.0,40.9376240144797,29.1208550118458
510379,MALTEPE KAYMAKAMLIĞI,225281,1,İETTBAYRAK,KADIKÖY,22.04.2020 00:00:00,02.01.2016 00:00:00,2012,40612,"2,02004E+14",0.0,40.9355820005435,29.1237899999919
510380,MALTEPE KAYMAKAMLIĞI,225282,1,İETTBAYRAK,PENDİK,22.04.2020 00:00:00,02.01.2016 00:00:00,2012,40610,"2,02004E+14",0.0,40.9354980405176,29.1236320458737
510381,YÜZEVLER,225291,1,İETTBAYRAK,KADIKÖY,01.01.1976 00:00:00,02.01.2016 00:00:00,2012,40612,"2,01807E+14",2.0,40.9338960005433,29.126150999992
